Warning	1	warning LNK4221: no public symbols found; archive member will be inaccessible	gdcmByteSwap.obj	gdcmCommon
Warning	44	warning C4996: 'itk::Statistics::Histogram<TMeasurement>::GetIndex': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKStatistics\itkHistogramPython.cpp	7590	ITKStatisticsPython
Warning	45	warning C4244: '=' : conversion from 'const double' to 'float', possible loss of data	C:\Program Files\Microsoft Visual Studio 9.0\VC\include\xutility	2472	ITKSpatialObjectsPython
Warning	46	warning C4996: 'itk::Rigid3DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\itk-vs2008\itk\modules\core\transform\include\itkVersorTransform.h	167	ITKTransformPython
Warning	47	warning C4996: 'itk::Rigid3DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\itk-vs2008\itk\modules\core\transform\include\itkVersorTransform.h	167	ITKTransformPython
Warning	48	warning C4996: 'itk::Rigid3DTransform<TScalar>::GetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	4937	ITKTransformPython
Warning	49	warning C4996: 'itk::Rigid3DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	4979	ITKTransformPython
Warning	50	warning C4996: 'itk::Rigid3DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	4979	ITKTransformPython
Warning	51	warning C4996: 'itk::Rigid3DTransform<TScalar>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	5044	ITKTransformPython
Warning	52	warning C4996: 'itk::Rigid3DTransform<TScalar>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	5109	ITKTransformPython
Warning	53	warning C4996: 'itk::Rigid3DTransform<TScalar>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	5151	ITKTransformPython
Warning	54	warning C4996: 'itk::Rigid3DTransform<TScalar>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid3DTransformPython.cpp	5216	ITKTransformPython
Warning	55	warning C4996: 'itk::Rigid2DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid2DTransformPython.cpp	5413	ITKTransformPython
Warning	56	warning C4996: 'itk::Rigid2DTransform<TScalar>::SetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid2DTransformPython.cpp	5413	ITKTransformPython
Warning	57	warning C4996: 'itk::Rigid2DTransform<TScalar>::GetRotationMatrix': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkRigid2DTransformPython.cpp	5446	ITKTransformPython
Warning	58	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::SetMatrixComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	4892	ITKTransformPython
Warning	59	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::GetMatrixComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	4925	ITKTransformPython
Warning	60	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::SetOffsetComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	4990	ITKTransformPython
Warning	61	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::GetOffsetComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	5023	ITKTransformPython
Warning	62	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::SetMatrixComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	5628	ITKTransformPython
Warning	63	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::GetMatrixComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	5661	ITKTransformPython
Warning	64	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::SetOffsetComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	5726	ITKTransformPython
Warning	65	warning C4996: 'itk::ScalableAffineTransform<TScalar,NDimensions>::GetOffsetComponent': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkScalableAffineTransformPython.cpp	5759	ITKTransformPython
Warning	66	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	5730	ITKTransformPython
Warning	67	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	5795	ITKTransformPython
Warning	68	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	5837	ITKTransformPython
Warning	69	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	5902	ITKTransformPython
Warning	70	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransformPoint': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	6040	ITKTransformPython
Warning	71	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	7416	ITKTransformPython
Warning	72	warning C4996: 'itk::AffineTransform<TScalar,NDimensions>::BackTransform': was declared deprecated	f:\workspace\ITK-VS2008\ITK-build\Wrapping\Modules\ITKTransform\itkAffineTransformPython.cpp	7481	ITKTransformPython
